Freq.	Id(M1)
2.84810039119418e+003	8.96059155549094e+001
2.86791049603169e+003	8.96080548816262e+001
2.88785839104503e+003	8.96101753817128e+001
2.90794503464066e+003	8.96122771471505e+001
2.92817139189129e+003	8.96143602683683e+001
2.94853843458224e+003	8.96164248867949e+001
2.96904714125813e+003	8.96184710655257e+001
2.98969849726991e+003	8.96204989316300e+001
3.01049349482217e+003	8.96225085477674e+001
3.03143313302083e+003	8.96245000344321e+001
3.05251841792116e+003	8.96264734860852e+001
3.07375036257606e+003	8.96284289813929e+001
3.09512998708482e+003	8.96303666455862e+001
3.11665831864204e+003	8.96322865433816e+001
3.13833639158704e+003	8.96341887708791e+001
3.16016524745355e+003	8.96360734158371e+001
3.18214593501972e+003	8.96379405847098e+001
3.20427951035853e+003	8.96397903712721e+001
3.22656703688855e+003	8.96416228414765e+001
3.24900958542499e+003	8.96434380845491e+001
3.27160823423117e+003	8.96452362074034e+001
3.29436406907034e+003	8.96470173051105e+001
3.31727818325781e+003	8.96487814225308e+001
3.34035167771352e+003	8.96505286650612e+001
3.36358566101490e+003	8.96522591143550e+001
3.38698124945015e+003	8.96539728736233e+001
3.41053956707187e+003	8.96556700013301e+001
3.43426174575106e+003	8.96573505774968e+001
3.45814892523151e+003	8.96590147138766e+001
3.48220225318455e+003	8.96606624496475e+001
3.50642288526419e+003	8.96622938914710e+001
3.53081198516267e+003	8.96639090992535e+001
3.55537072466633e+003	8.96655081641308e+001
3.58010028371194e+003	8.96670911725814e+001
3.60500185044337e+003	8.96686581796107e+001
3.63007662126870e+003	8.96702092639845e+001
3.65532580091766e+003	8.96717445207821e+001
3.68075060249955e+003	8.96732639896524e+001
3.70635224756154e+003	8.96747677582269e+001
3.73213196614728e+003	8.96762559126327e+001
3.75809099685610e+003	8.96777284885748e+001
3.78423058690244e+003	8.96791855978214e+001
3.81055199217581e+003	8.96806273113182e+001
3.83705647730112e+003	8.96820536670490e+001
3.86374531569944e+003	8.96834647545090e+001
3.89061978964920e+003	8.96848606178260e+001
3.91768119034777e+003	8.96862413548515e+001
3.94493081797350e+003	8.96876070148321e+001
3.97236998174820e+003	8.96889576597813e+001
4.00000000000006e+003	8.96902933664681e+001
4.02782220022694e+003	8.96916141892594e+001
4.05583791916018e+003	8.96929202009164e+001
4.08404850282884e+003	8.96942114671963e+001
4.11245530662433e+003	8.96954880383293e+001
4.14105969536558e+003	8.96967499608339e+001
4.16986304336455e+003	8.96979973295560e+001
4.19886673449234e+003	8.96992301903331e+001
4.22807216224559e+003	8.97004485973660e+001
4.25748072981351e+003	8.97016526195249e+001
4.28709385014524e+003	8.97028422957594e+001
4.31691294601778e+003	8.97040177139574e+001
4.34693945010430e+003	8.97051788982353e+001
4.37717480504303e+003	8.97063259065294e+001
4.40762046350651e+003	8.97074588361842e+001
4.43827788827145e+003	8.97085776960833e+001
4.46914855228895e+003	8.97096825514175e+001
4.50023393875531e+003	8.97107734530743e+001
4.53153554118327e+003	8.97118504619513e+001
4.56305486347377e+003	8.97129136336036e+001
4.59479341998822e+003	8.97139630170896e+001
4.62675273562123e+003	8.97149986477834e+001
4.65893434587390e+003	8.97160205904861e+001
4.69133979692759e+003	8.97170288853786e+001
4.72397064571820e+003	8.97180235907584e+001
4.75682846001096e+003	8.97190047433651e+001
4.78991481847580e+003	8.97199723929551e+001
4.82323131076312e+003	8.97209265937770e+001
4.85677953758027e+003	8.97218674046172e+001
4.89056111076836e+003	8.97227948276305e+001
4.92457765337975e+003	8.97237089441957e+001
4.95883079975603e+003	8.97246097813052e+001
4.99332219560653e+003	8.97254973862123e+001
5.02805349808740e+003	8.97263718080602e+001
5.06302637588121e+003	8.97272330807647e+001
5.09824250927713e+003	8.97280812477548e+001
5.13370359025170e+003	8.97289163473265e+001
5.16941132255006e+003	8.97297384294606e+001
5.20536742176782e+003	8.97305475241839e+001
5.24157361543354e+003	8.97313436737489e+001
5.27803164309167e+003	8.97321269146996e+001
5.31474325638614e+003	8.97328972979191e+001
5.35171021914454e+003	8.97336548381989e+001
5.38893430746286e+003	8.97343995809960e+001
5.42641730979078e+003	8.97351315593717e+001
