time	V(N141)*Id(M1)+V(N144)*Ig(M1)
3.000156237804754e-004	2.564851e-002
3.000214966893235e-004	7.080844e-002
3.000293997199610e-004	1.699895e-001
3.000413381867008e-004	4.062507e-001
3.000601554430176e-004	1.002790e+000
3.000967308880971e-004	2.946780e+000
3.001698817782563e-004	9.733606e+000
3.003161835585746e-004	3.365869e+001
3.006087871192112e-004	1.082269e+002
3.009972806367379e-004	2.263174e+002
3.012628698221098e-004	2.904775e+002
3.014965742162319e-004	2.965328e+002
3.016834256399901e-004	2.355402e+002
3.018310131312578e-004	1.295785e+002
3.018975007526875e-004	6.343405e+001
3.019327844667090e-004	2.804974e+001
3.019495660776330e-004	1.558699e+001
3.019665863639648e-004	8.499049e+000
3.019845334490417e-004	5.077890e+000
3.019992584428969e-004	3.823153e+000
3.020149893393395e-004	3.204377e+000
3.020314543177840e-004	2.892358e+000
3.020527534481356e-004	2.708308e+000
3.020777784092432e-004	2.615163e+000
3.021122948148726e-004	2.562164e+000
3.021583996142248e-004	2.525344e+000
3.022345672722848e-004	2.480640e+000
3.023667228167481e-004	2.414336e+000
3.026310339056748e-004	2.307677e+000
3.031596560835280e-004	2.154050e+000
3.040383351809225e-004	1.968387e+000
3.040510292609938e-004	1.966509e+000
3.040679547010888e-004	1.964065e+000
3.041018055812789e-004	1.959294e+000
3.041695073416591e-004	1.950089e+000
3.043049108624193e-004	1.932811e+000
3.045757179039399e-004	1.901715e+000
3.050000000000000e-004	1.857378e+000
3.050424282096061e-004	1.850086e+000
3.051272846288181e-004	1.844594e+000
3.052969974672422e-004	1.843823e+000
3.055822029155480e-004	1.844011e+000
3.061128461573126e-004	1.843927e+000
3.070894086573126e-004	1.843953e+000
3.080659711573126e-004	1.843951e+000
3.090425336573126e-004	1.843953e+000
3.100190961573126e-004	1.843952e+000
3.109956586573126e-004	1.843953e+000
3.119722211573126e-004	1.843952e+000
3.129487836573126e-004	1.843953e+000
3.139253461573126e-004	1.843952e+000
3.149019086573126e-004	1.843953e+000
3.158784711573126e-004	1.843952e+000
3.168550336573126e-004	1.843953e+000
3.178315961573126e-004	1.843952e+000
3.188081586573126e-004	1.843953e+000
3.197847211573126e-004	1.843952e+000
3.207612836573126e-004	1.843953e+000
3.217378461573126e-004	1.843952e+000
3.227144086573126e-004	1.843953e+000
3.236909711573126e-004	1.843952e+000
3.246675336573126e-004	1.843953e+000
3.256440961573126e-004	1.843952e+000
3.266206586573126e-004	1.843953e+000
3.275972211573126e-004	1.843952e+000
3.285737836573126e-004	1.843952e+000
3.295503461573126e-004	1.843952e+000
3.305269086573126e-004	1.843952e+000
3.315034711573126e-004	1.843952e+000
3.324800336573126e-004	1.843952e+000
3.334565961573126e-004	1.843952e+000
3.344331586573126e-004	1.843952e+000
3.354097211573126e-004	1.843952e+000
3.363862836573126e-004	1.843952e+000
3.373628461573126e-004	1.843952e+000
3.383394086573126e-004	1.843952e+000
3.393159711573126e-004	1.843952e+000
3.402925336573126e-004	1.843952e+000
3.412690961573126e-004	1.843952e+000
3.422456586573126e-004	1.843952e+000
3.432222211573126e-004	1.843952e+000
3.441987836573126e-004	1.843952e+000
3.451753461573126e-004	1.843952e+000
3.461519086573126e-004	1.843952e+000
3.471284711573126e-004	1.843952e+000
3.481050336573126e-004	1.843952e+000
3.490815961573126e-004	1.843952e+000
3.500581586573126e-004	1.843952e+000
3.510347211573127e-004	1.843952e+000
3.520112836573127e-004	1.843952e+000
3.529878461573127e-004	1.843952e+000
3.539644086573127e-004	1.843943e+000
3.540234375000001e-004	1.843946e+000
3.541414951853749e-004	1.843953e+000
3.543776105561246e-004	1.843952e+000
3.545277692585008e-004	1.843952e+000
3.546996825952477e-004	1.843952e+000
3.550000000000000e-004	1.843951e+000
3.550300317404753e-004	1.839879e+000
