time	V(OUT)*Id(M1)+V(N144)*Ig(M1)
3.544408377701765e-006	3.393517e+002
3.549291190201765e-006	3.398626e+002
3.554174002701764e-006	3.403129e+002
3.559056815201764e-006	3.407018e+002
3.563939627701764e-006	3.410285e+002
3.568822440201764e-006	3.412921e+002
3.573705252701764e-006	3.414919e+002
3.578588065201763e-006	3.416269e+002
3.583470877701763e-006	3.416965e+002
3.588353690201763e-006	3.416996e+002
3.593236502701763e-006	3.416356e+002
3.598119315201763e-006	3.415034e+002
3.603002127701762e-006	3.413023e+002
3.607884940201762e-006	3.410314e+002
3.612767752701762e-006	3.406899e+002
3.617650565201762e-006	3.402768e+002
3.622533377701762e-006	3.397913e+002
3.627416190201761e-006	3.392327e+002
3.632299002701761e-006	3.385998e+002
3.637181815201761e-006	3.378919e+002
3.642064627701761e-006	3.371080e+002
3.646947440201761e-006	3.362473e+002
3.651830252701760e-006	3.353089e+002
3.656713065201760e-006	3.342919e+002
3.661595877701760e-006	3.331953e+002
3.666478690201760e-006	3.320182e+002
3.671361502701760e-006	3.307598e+002
3.676244315201759e-006	3.294191e+002
3.681127127701759e-006	3.279953e+002
3.686009940201759e-006	3.264873e+002
3.690892752701759e-006	3.248943e+002
3.695775565201759e-006	3.232153e+002
3.700658377701758e-006	3.214494e+002
3.705541190201758e-006	3.195957e+002
3.710424002701758e-006	3.176533e+002
3.715306815201758e-006	3.156213e+002
3.720189627701758e-006	3.134987e+002
3.725072440201757e-006	3.112846e+002
3.729955252701757e-006	3.089781e+002
3.734838065201757e-006	3.065783e+002
3.739720877701757e-006	3.040843e+002
3.744603690201757e-006	3.014951e+002
3.749486502701756e-006	2.988099e+002
3.754369315201756e-006	2.960278e+002
3.759252127701756e-006	2.931479e+002
3.764134940201756e-006	2.901693e+002
3.769017752701756e-006	2.870912e+002
3.773900565201755e-006	2.839126e+002
3.778783377701755e-006	2.806329e+002
3.783666190201755e-006	2.772510e+002
3.788549002701755e-006	2.737663e+002
3.793431815201755e-006	2.701778e+002
3.798314627701754e-006	2.664849e+002
3.803197440201754e-006	2.626868e+002
3.808080252701754e-006	2.587827e+002
3.812963065201754e-006	2.547720e+002
3.817845877701754e-006	2.506539e+002
3.822728690201753e-006	2.464279e+002
3.827611502701753e-006	2.420933e+002
3.832494315201753e-006	2.376495e+002
3.837377127701753e-006	2.330962e+002
3.842259940201753e-006	2.284328e+002
3.847142752701753e-006	2.236590e+002
3.852025565201752e-006	2.187743e+002
3.856908377701752e-006	2.137787e+002
3.861791190201752e-006	2.086720e+002
3.866674002701752e-006	2.034540e+002
3.871556815201752e-006	1.981250e+002
3.876439627701751e-006	1.926852e+002
3.881322440201751e-006	1.871349e+002
3.886205252701751e-006	1.814748e+002
3.891088065201751e-006	1.757056e+002
3.895970877701751e-006	1.698285e+002
3.900853690201750e-006	1.638449e+002
3.905736502701750e-006	1.577564e+002
3.910619315201750e-006	1.515654e+002
3.915502127701750e-006	1.452745e+002
3.920384940201750e-006	1.388872e+002
3.925267752701749e-006	1.324076e+002
3.930150565201749e-006	1.258409e+002
3.935033377701749e-006	1.191936e+002
3.939916190201749e-006	1.124735e+002
3.944799002701749e-006	1.056906e+002
3.949681815201748e-006	9.885738e+001
3.954564627701748e-006	9.198957e+001
3.959447440201748e-006	8.510723e+001
3.964330252701748e-006	7.823614e+001
3.969213065201748e-006	7.140956e+001
3.974095877701747e-006	6.467064e+001
3.978978690201747e-006	5.807500e+001
3.983861502701747e-006	5.169294e+001
3.988744315201747e-006	4.560883e+001
3.993627127701747e-006	3.991373e+001
3.998509940201746e-006	3.468777e+001
4.003392752701746e-006	2.997660e+001
4.008275565201746e-006	2.577604e+001
4.013158377701746e-006	2.203627e+001
4.018041190201746e-006	1.868046e+001
4.022924002701745e-006	1.562454e+001
4.027806815201745e-006	1.279030e+001
4.032689627701745e-006	1.011268e+001
4.037572440201745e-006	7.626093e+000
4.042455252701745e-006	5.565600e+000
4.047159433592497e-006	4.149602e+000
4.052042246092497e-006	3.170941e+000
4.056925058592496e-006	2.519910e+000
4.061807871092496e-006	2.081733e+000
4.066690683592496e-006	1.781454e+000
4.071573496092496e-006	1.572241e+000
4.076456308592496e-006	1.424364e+000
4.081339121092495e-006	1.318578e+000
4.086221933592495e-006	1.242119e+000
4.091104746092495e-006	1.186367e+000
4.095987558592495e-006	1.145378e+000
4.100870371092495e-006	1.115002e+000
4.105753183592494e-006	1.092301e+000
4.110635996092494e-006	1.075177e+000
4.115518808592494e-006	1.062119e+000
4.120401621092494e-006	1.052036e+000
4.125284433592494e-006	1.044131e+000
4.130167246092493e-006	1.037826e+000
4.135050058592493e-006	1.032699e+000
4.139932871092493e-006	1.028438e+000
4.144815683592493e-006	1.024817e+000
4.149698496092493e-006	1.021670e+000
4.154581308592492e-006	1.018874e+000
4.159464121092492e-006	1.016340e+000
4.164346933592492e-006	1.014000e+000
4.169229746092492e-006	1.011808e+000
4.174112558592492e-006	1.009727e+000
4.178995371092491e-006	1.007732e+000
4.183878183592491e-006	1.005802e+000
4.188760996092491e-006	1.003924e+000
4.193643808592491e-006	1.002088e+000
4.203409433592490e-006	9.985100e-001
4.213175058592490e-006	9.950281e-001
4.222243138949633e-006	9.918696e-001
4.231311219306775e-006	9.887546e-001
4.240379299663918e-006	9.856828e-001
4.249447380021060e-006	9.826544e-001
4.258515460378203e-006	9.796694e-001
4.267583540735345e-006	9.767276e-001
4.276651621092487e-006	9.738292e-001
4.296182871092487e-006	9.676981e-001
4.347801174663913e-006	9.524721e-001
4.399419478235339e-006	9.380527e-001
4.451037781806766e-006	9.244396e-001
4.502656085378193e-006	9.116328e-001
4.554274388949619e-006	8.996318e-001
4.605892692521045e-006	8.884367e-001
4.657510996092472e-006	8.780471e-001
4.706042494417809e-006	8.687098e-001
4.754573992743146e-006	8.597661e-001
4.803105491068483e-006	8.512160e-001
4.851636989393820e-006	8.430594e-001
4.900168487719156e-006	8.352963e-001
4.948699986044493e-006	8.279267e-001
4.997231484369830e-006	8.209505e-001
4.998539921890511e-006	8.207650e-001
5.000000000000000e-006	8.205555e-001
