rload	V(OUT)*I(R3)	V(out)	I(R3)
Step Information: Ifail=1  (Run: 1/4)
3.981071705535052e-015	3.204485e-013	3.571734e-014	8.971791e+000
4.168693834703437e-015	3.355508e-013	3.740065e-014	8.971791e+000
4.365158322401747e-015	3.513648e-013	3.916329e-014	8.971791e+000
4.570881896148841e-015	3.679241e-013	4.100900e-014	8.971791e+000
4.786300923226479e-015	3.852639e-013	4.294169e-014	8.971791e+000
5.011872336272823e-015	4.034208e-013	4.496547e-014	8.971791e+000
5.248074602497832e-015	4.224334e-013	4.708463e-014	8.971791e+000
5.495408738576357e-015	4.423421e-013	4.930366e-014	8.971791e+000
5.754399373371687e-015	4.631891e-013	5.162727e-014	8.971791e+000
6.025595860743701e-015	4.850185e-013	5.406039e-014	8.971791e+000
6.309573444802062e-015	5.078767e-013	5.660817e-014	8.971791e+000
6.606934480076096e-015	5.318122e-013	5.927604e-014	8.971791e+000
6.918309709189508e-015	5.568757e-013	6.206963e-014	8.971791e+000
7.244359600750051e-015	5.831205e-013	6.499488e-014	8.971791e+000
7.585775750291996e-015	6.106021e-013	6.805799e-014	8.971791e+000
7.943282347242981e-015	6.393789e-013	7.126547e-014	8.971791e+000
8.317637711026884e-015	6.695119e-013	7.462410e-014	8.971791e+000
8.709635899560990e-015	7.010650e-013	7.814103e-014	8.971791e+000
9.120108393559291e-015	7.341052e-013	8.182371e-014	8.971791e+000
9.549925860214562e-015	7.687025e-013	8.567994e-014	8.971791e+000
1.000000000000021e-014	8.049303e-013	8.971791e-014	8.971791e+000
1.047128548050922e-014	8.428656e-013	9.394619e-014	8.971791e+000
1.096478196143209e-014	8.825886e-013	9.837373e-014	8.971791e+000
1.148153621496908e-014	9.241837e-013	1.030099e-013	8.971791e+000
1.202264434617439e-014	9.677391e-013	1.078647e-013	8.971791e+000
1.258925411794195e-014	1.013347e-012	1.129482e-013	8.971791e+000
1.318256738556436e-014	1.061105e-012	1.182712e-013	8.971791e+000
1.380384264602915e-014	1.111113e-012	1.238452e-013	8.971791e+000
1.445439770745959e-014	1.163478e-012	1.296818e-013	8.971791e+000
1.513561248436242e-014	1.218311e-012	1.357936e-013	8.971791e+000
