V(out)	I(R_load)	power
5.011538e-012	9.999333e+000	5.01120451e-11	
5.247725e-012	9.999333e+000	5.24737498e-11	
5.495043e-012	9.999333e+000	5.494676e-11	
5.754016e-012	9.999333e+000	5.75363242e-11	
6.025194e-012	9.999333e+000	6.024792e-11	
6.309153e-012	9.999333e+000	6.30873303e-11	
6.606494e-012	9.999333e+000	6.6060536e-11	
6.917849e-012	9.999333e+000	6.91738843e-11	
7.243877e-012	9.999333e+000	7.24339362e-11	
7.585270e-012	9.999333e+000	7.5847649e-11	
7.942753e-012	9.999333e+000	7.94222397e-11	
8.317083e-012	9.999333e+000	8.31652914e-11	
8.709055e-012	9.999333e+000	8.70847383e-11	
9.119501e-012	9.999333e+000	9.11889262e-11	
9.549289e-012	9.999333e+000	9.54865218e-11	
9.999334e-012	9.999333e+000	9.99866794e-11	
1.047059e-011	9.999333e+000	1.0469898e-10	
1.096405e-011	9.999333e+000	1.09633191e-10	
1.148077e-011	9.999333e+000	1.14800082e-10	
1.202184e-011	9.999333e+000	1.20210336e-10	
1.258842e-011	9.999333e+000	1.25875851e-10	
1.318169e-011	9.999333e+000	1.31808073e-10	
1.380292e-011	9.999333e+000	1.3801997e-10	
1.445343e-011	9.999333e+000	1.44524663e-10	
1.513460e-011	9.999333e+000	1.51335886e-10	
1.584788e-011	9.999333e+000	1.58468283e-10	
1.659476e-011	9.999333e+000	1.65936505e-10	
1.737685e-011	9.999333e+000	1.73756876e-10	
1.819580e-011	9.999333e+000	1.81945874e-10	
1.905334e-011	9.999333e+000	1.90520741e-10	
1.995129e-011	9.999333e+000	1.99499635e-10	
2.089157e-011	9.999333e+000	2.08901779e-10	
2.187616e-011	9.999333e+000	2.1874701e-10	
2.290715e-011	9.999333e+000	2.29056227e-10	
2.398673e-011	9.999333e+000	2.39851253e-10	
2.511719e-011	9.999333e+000	2.51155125e-10	
2.630093e-011	9.999333e+000	2.629918e-10	
2.754045e-011	9.999333e+000	2.75386145e-10	
2.883839e-011	9.999333e+000	2.88364711e-10	
3.019750e-011	9.999333e+000	3.01954808e-10	
3.162067e-011	9.999333e+000	3.16185579e-10	
3.311091e-011	9.999333e+000	3.31087082e-10	
3.467137e-011	9.999333e+000	3.46690594e-10	
3.630539e-011	9.999333e+000	3.63029684e-10	
3.801641e-011	9.999333e+000	3.80138681e-10	
3.980806e-011	9.999333e+000	3.98054051e-10	
4.168416e-011	9.999333e+000	4.16813788e-10	
4.364867e-011	9.999333e+000	4.36457558e-10	
4.570577e-011	9.999333e+000	4.5702717e-10	
4.785982e-011	9.999333e+000	4.78566261e-10	
5.011538e-011	9.999333e+000	5.01120451e-10	
5.247725e-011	9.999333e+000	5.24737498e-10	
5.495043e-011	9.999333e+000	5.494676e-10	
5.754016e-011	9.999333e+000	5.75363242e-10	
6.025194e-011	9.999333e+000	6.024792e-10	
6.309153e-011	9.999333e+000	6.30873303e-10	
6.606495e-011	9.999333e+000	6.60605513e-10	
6.917849e-011	9.999333e+000	6.91738843e-10	
7.243877e-011	9.999333e+000	7.24339362e-10	
7.585271e-011	9.999333e+000	7.5847649e-10	
7.942753e-011	9.999333e+000	7.94222397e-10	
8.317084e-011	9.999333e+000	8.31652914e-10	
8.709056e-011	9.999333e+000	8.70847536e-10	
9.119501e-011	9.999333e+000	9.11889262e-10	
9.549290e-011	9.999333e+000	9.5486537e-10	
9.999334e-011	9.999333e+000	9.99866794e-10	
1.047059e-010	9.999333e+000	1.0469898e-9	
1.096405e-010	9.999333e+000	1.09633191e-9	
1.148077e-010	9.999333e+000	1.14800082e-9	
1.202184e-010	9.999333e+000	1.20210336e-9	
1.258842e-010	9.999333e+000	1.25875851e-9	
1.318169e-010	9.999333e+000	1.31808073e-9	
1.380292e-010	9.999333e+000	1.3801997e-9	
1.445343e-010	9.999333e+000	1.44524663e-9	
1.513460e-010	9.999333e+000	1.51335886e-9	
1.584788e-010	9.999333e+000	1.58468283e-9	
1.659476e-010	9.999333e+000	1.65936505e-9	
1.737685e-010	9.999333e+000	1.73756876e-9	
1.819580e-010	9.999333e+000	1.81945874e-9	
1.905334e-010	9.999333e+000	1.90520741e-9	
1.995129e-010	9.999333e+000	1.99499635e-9	
2.089157e-010	9.999333e+000	2.08901779e-9	
2.187616e-010	9.999333e+000	2.1874701e-9	
2.290715e-010	9.999333e+000	2.29056227e-9	
2.398673e-010	9.999333e+000	2.39851253e-9	
2.511719e-010	9.999333e+000	2.51155125e-9	
2.630093e-010	9.999333e+000	2.629918e-9	
2.754045e-010	9.999333e+000	2.75386145e-9	
2.883839e-010	9.999333e+000	2.88364711e-9	
3.019751e-010	9.999333e+000	3.0195496e-9	
3.162067e-010	9.999333e+000	3.16185579e-9	
3.311091e-010	9.999333e+000	3.31087082e-9	
3.467137e-010	9.999333e+000	3.46690594e-9	
3.630539e-010	9.999333e+000	3.63029684e-9	
3.801641e-010	9.999333e+000	3.80138681e-9	
3.980807e-010	9.999333e+000	3.98054204e-9	
4.168416e-010	9.999333e+000	4.16813788e-9	
4.364867e-010	9.999333e+000	4.36457558e-9	
4.570577e-010	9.999333e+000	4.5702717e-9	
4.785982e-010	9.999333e+000	4.78566261e-9	
5.011538e-010	9.999333e+000	5.01120451e-9	
5.247725e-010	9.999333e+000	5.24737498e-9	
5.495043e-010	9.999333e+000	5.494676e-9	
5.754016e-010	9.999333e+000	5.75363242e-9	
6.025194e-010	9.999333e+000	6.024792e-9	
6.309153e-010	9.999333e+000	6.30873303e-9	
6.606494e-010	9.999333e+000	6.6060536e-9	
6.917849e-010	9.999333e+000	6.91738843e-9	
7.243877e-010	9.999333e+000	7.24339362e-9	
7.585270e-010	9.999333e+000	7.5847649e-9	
7.942753e-010	9.999333e+000	7.94222397e-9	
8.317084e-010	9.999333e+000	8.31652914e-9	
8.709056e-010	9.999333e+000	8.70847536e-9	
9.119501e-010	9.999333e+000	9.11889262e-9	
9.549289e-010	9.999333e+000	9.54865218e-9	
9.999334e-010	9.999333e+000	9.99866794e-9	
1.047059e-009	9.999333e+000	1.0469898e-8	
1.096405e-009	9.999333e+000	1.09633191e-8	
1.148077e-009	9.999333e+000	1.14800082e-8	
1.202184e-009	9.999333e+000	1.20210336e-8	
1.258842e-009	9.999333e+000	1.25875851e-8	
1.318169e-009	9.999333e+000	1.31808073e-8	
1.380292e-009	9.999333e+000	1.3801997e-8	
1.445344e-009	9.999333e+000	1.44524815e-8	
1.513460e-009	9.999333e+000	1.51335886e-8	
1.584788e-009	9.999333e+000	1.58468283e-8	
1.659476e-009	9.999333e+000	1.65936505e-8	
1.737685e-009	9.999333e+000	1.73756876e-8	
1.819580e-009	9.999333e+000	1.81945874e-8	
1.905334e-009	9.999333e+000	1.90520741e-8	
1.995129e-009	9.999333e+000	1.99499635e-8	
2.089157e-009	9.999333e+000	2.08901779e-8	
2.187616e-009	9.999333e+000	2.1874701e-8	
2.290715e-009	9.999333e+000	2.29056227e-8	
2.398673e-009	9.999333e+000	2.39851253e-8	
2.511719e-009	9.999333e+000	2.51155125e-8	
2.630093e-009	9.999333e+000	2.629918e-8	
2.754045e-009	9.999333e+000	2.75386145e-8	
2.883839e-009	9.999333e+000	2.88364711e-8	
3.019750e-009	9.999333e+000	3.01954808e-8	
3.162067e-009	9.999333e+000	3.16185579e-8	
3.311091e-009	9.999333e+000	3.31087082e-8	
3.467137e-009	9.999333e+000	3.46690594e-8	
3.630539e-009	9.999333e+000	3.63029684e-8	
3.801641e-009	9.999333e+000	3.80138681e-8	
3.980806e-009	9.999333e+000	3.98054051e-8	
4.168416e-009	9.999333e+000	4.16813788e-8	
4.364868e-009	9.999333e+000	4.3645771e-8	
4.570577e-009	9.999333e+000	4.5702717e-8	
4.785982e-009	9.999333e+000	4.78566261e-8	
5.011538e-009	9.999333e+000	5.01120451e-8	
5.247725e-009	9.999333e+000	5.24737498e-8	
