V(out)	I(R_load)	power
1.499947e-011	8.631293e+000	1.29464781e-10	
1.570637e-011	8.631293e+000	1.35566321e-10	
1.644659e-011	8.631293e+000	1.41955368e-10	
1.722169e-011	8.631293e+000	1.4864549e-10	
1.803333e-011	8.631293e+000	1.55650908e-10	
1.888321e-011	8.631293e+000	1.62986505e-10	
1.977315e-011	8.631293e+000	1.70667824e-10	
2.070503e-011	8.631293e+000	1.78711194e-10	
2.168083e-011	8.631293e+000	1.87133606e-10	
2.270262e-011	8.631293e+000	1.95952971e-10	
2.377256e-011	8.631293e+000	2.05187859e-10	
2.489292e-011	8.631293e+000	2.14858025e-10	
2.606609e-011	8.631293e+000	2.24984016e-10	
2.729455e-011	8.631293e+000	2.35587299e-10	
2.858090e-011	8.631293e+000	2.46690132e-10	
2.992788e-011	8.631293e+000	2.58316353e-10	
3.133833e-011	8.631293e+000	2.70490326e-10	
3.281526e-011	8.631293e+000	2.8323813e-10	
3.436180e-011	8.631293e+000	2.96586763e-10	
3.598122e-011	8.631293e+000	3.1056441e-10	
3.767696e-011	8.631293e+000	3.25200838e-10	
3.945262e-011	8.631293e+000	3.40527124e-10	
4.131197e-011	8.631293e+000	3.5657567e-10	
4.325894e-011	8.631293e+000	3.73380588e-10	
4.529767e-011	8.631293e+000	3.90977435e-10	
4.743249e-011	8.631293e+000	4.09403749e-10	
4.966791e-011	8.631293e+000	4.2869825e-10	
5.200869e-011	8.631293e+000	4.48902292e-10	
5.445978e-011	8.631293e+000	4.70058284e-10	
5.702639e-011	8.631293e+000	4.922114e-10	
5.971396e-011	8.631293e+000	5.15408656e-10	
6.252819e-011	8.631293e+000	5.3969905e-10	
6.547506e-011	8.631293e+000	5.6513447e-10	
6.856080e-011	8.631293e+000	5.91768388e-10	
7.179198e-011	8.631293e+000	6.19657567e-10	
7.517542e-011	8.631293e+000	6.48861012e-10	
7.871833e-011	8.631293e+000	6.79440886e-10	
8.242821e-011	8.631293e+000	7.11461986e-10	
8.631294e-011	8.631293e+000	7.44992271e-10	
9.038074e-011	8.631293e+000	7.801026e-10	
