V(out)	power output	
1.038299e-012	1.02954477e-11	
1.087233e-012	1.07806557e-11	
1.138473e-012	1.12887405e-11	
1.192127e-012	1.18207462e-11	
1.248310e-012	1.23778375e-11	
1.307141e-012	1.29611948e-11	
1.368745e-012	1.35720435e-11	
1.433252e-012	1.42116698e-11	
1.500799e-012	1.48814503e-11	
1.571530e-012	1.55827924e-11	
1.645593e-012	1.63171785e-11	
1.723148e-012	1.70861824e-11	
1.804357e-012	1.7891423e-11	
1.889394e-012	1.87346251e-11	
1.978439e-012	1.96175742e-11	
2.071679e-012	2.05421158e-11	
2.169315e-012	2.15102322e-11	
2.271551e-012	2.25239812e-11	
2.378606e-012	2.35854959e-11	
2.490707e-012	2.4697061e-11	
2.608090e-012	2.58609917e-11	
2.731006e-012	2.70797841e-11	
2.859714e-012	2.83560104e-11	
2.994488e-012	2.96923943e-11	
3.135614e-012	3.10917497e-11	
3.283391e-012	3.25570573e-11	
3.438132e-012	3.40914188e-11	
3.600166e-012	3.56981024e-11	
3.769837e-012	3.73804971e-11	
3.947504e-012	3.91421887e-11	
4.133544e-012	4.09868996e-11	
4.328352e-012	4.29185631e-11	
4.532341e-012	4.49412495e-11	
4.745944e-012	4.7059271e-11	
4.969613e-012	4.92771059e-11	
5.203823e-012	5.15994444e-11	
5.449072e-012	5.40312648e-11	
5.705879e-012	5.65776807e-11	
5.974789e-012	5.92441087e-11	
6.256372e-012	6.20361925e-11	
6.551226e-012	6.4959863e-11	
6.859976e-012	6.80213387e-11	
7.183276e-012	7.12270802e-11	
7.521814e-012	7.45839111e-11	
7.876306e-012	7.80989427e-11	
8.247505e-012	8.17796342e-11	
8.636198e-012	8.56337926e-11	
9.043209e-012	8.96695729e-11	
9.469403e-012	9.38955844e-11	
9.915682e-012	9.83207387e-11	
1.038299e-011	1.02954477e-10	
1.087233e-011	1.07806557e-10	
1.138473e-011	1.12887405e-10	
1.192127e-011	1.18207462e-10	
1.248310e-011	1.23778375e-10	
1.307141e-011	1.29611948e-10	
1.368745e-011	1.35720435e-10	
1.433252e-011	1.42116698e-10	
1.500799e-011	1.48814503e-10	
1.571530e-011	1.55827924e-10	
1.645594e-011	1.63171785e-10	
