V(out)	I(R3)	power
1.109249e-034	5.888829e+000	6.532176e-034	
1.174976e-034	5.888829e+000	6.919231e-034	
1.244598e-034	5.888829e+000	7.329222e-034	
1.318345e-034	5.888829e+000	7.763505e-034	
1.396461e-034	5.888829e+000	8.223522e-034	
1.479207e-034	5.888829e+000	8.710797e-034	
1.566855e-034	5.888829e+000	9.226943e-034	
1.659697e-034	5.888829e+000	9.773674e-034	
1.758041e-034	5.888829e+000	1.035280e-033	
1.862211e-034	5.888829e+000	1.096624e-033	
1.972554e-034	5.888829e+000	1.161603e-033	
2.089435e-034	5.888829e+000	1.230433e-033	
2.213242e-034	5.888829e+000	1.303340e-033	
2.344385e-034	5.888829e+000	1.380568e-033	
2.483299e-034	5.888829e+000	1.462372e-033	
2.630443e-034	5.888829e+000	1.549023e-033	
2.786307e-034	5.888829e+000	1.640808e-033	
2.951406e-034	5.888829e+000	1.738032e-033	
3.126288e-034	5.888829e+000	1.841017e-033	
3.311532e-034	5.888829e+000	1.950104e-033	
3.507753e-034	5.888829e+000	2.065655e-033	
3.715600e-034	5.888829e+000	2.188053e-033	
3.935763e-034	5.888829e+000	2.317703e-033	
4.168972e-034	5.888829e+000	2.455036e-033	
4.415999e-034	5.888829e+000	2.600506e-033	
4.677663e-034	5.888829e+000	2.754596e-033	
4.954832e-034	5.888829e+000	2.917816e-033	
5.248424e-034	5.888829e+000	3.090707e-033	
5.559413e-034	5.888829e+000	3.273843e-033	
5.888829e-034	5.888829e+000	3.467831e-033	
6.237764e-034	5.888829e+000	3.673312e-033	
6.607375e-034	5.888829e+000	3.890970e-033	
6.998886e-034	5.888829e+000	4.121524e-033	
7.413596e-034	5.888829e+000	4.365740e-033	
7.852880e-034	5.888829e+000	4.624427e-033	
8.318192e-034	5.888829e+000	4.898441e-033	
8.811076e-034	5.888829e+000	5.188692e-033	
9.333165e-034	5.888829e+000	5.496141e-033	
9.886189e-034	5.888829e+000	5.821808e-033	
1.047198e-033	5.888829e+000	6.166772e-033	
1.109249e-033	5.888829e+000	6.532176e-033	
1.174976e-033	5.888829e+000	6.919232e-033	
1.244598e-033	5.888829e+000	7.329222e-033	
1.318345e-033	5.888829e+000	7.763505e-033	
1.396461e-033	5.888829e+000	8.223522e-033	
1.479207e-033	5.888829e+000	8.710796e-033	
1.566856e-033	5.888829e+000	9.226944e-033	
1.659698e-033	5.888829e+000	9.773675e-033	
1.758041e-033	5.888829e+000	1.035280e-032	
1.862211e-033	5.888829e+000	1.096624e-032	
1.972554e-033	5.888829e+000	1.161603e-032	
2.089435e-033	5.888829e+000	1.230433e-032	
2.213242e-033	5.888829e+000	1.303340e-032	
2.344385e-033	5.888829e+000	1.380568e-032	
2.483298e-033	5.888829e+000	1.462372e-032	
2.630443e-033	5.888829e+000	1.549023e-032	
2.786307e-033	5.888829e+000	1.640808e-032	
2.951406e-033	5.888829e+000	1.738032e-032	
3.126288e-033	5.888829e+000	1.841017e-032	
3.311532e-033	5.888829e+000	1.950104e-032	
3.507752e-033	5.888829e+000	2.065655e-032	
3.715600e-033	5.888829e+000	2.188053e-032	
3.935763e-033	5.888829e+000	2.317703e-032	
4.168972e-033	5.888829e+000	2.455036e-032	
4.415999e-033	5.888829e+000	2.600506e-032	
4.677663e-033	5.888829e+000	2.754596e-032	
4.954832e-033	5.888829e+000	2.917816e-032	
5.248424e-033	5.888829e+000	3.090707e-032	
5.559413e-033	5.888829e+000	3.273843e-032	
5.888829e-033	5.888829e+000	3.467830e-032	
6.237764e-033	5.888829e+000	3.673312e-032	
6.607374e-033	5.888829e+000	3.890970e-032	
6.998886e-033	5.888829e+000	4.121524e-032	
7.413596e-033	5.888829e+000	4.365740e-032	
7.852880e-033	5.888829e+000	4.624426e-032	
