time	V(out)
6.041154123148049e-004	1.756646e-001
6.041295449525319e-004	1.734757e-001
6.041578102279859e-004	1.709336e-001
6.041858808850775e-004	1.690194e-001
6.042420221992607e-004	1.657481e-001
6.043273202341429e-004	1.613219e-001
6.044979163039074e-004	1.537001e-001
6.046588078604711e-004	1.474119e-001
6.046782168868726e-004	1.467359e-001
6.047170349396756e-004	1.454909e-001
6.047946710452815e-004	1.431356e-001
6.048836115271616e-004	1.406382e-001
6.050000000000001e-004	1.373280e-001
6.050116388472839e-004	1.373488e-001
6.050349165418516e-004	1.372654e-001
6.050814719309870e-004	1.371732e-001
6.051420533230147e-004	1.371643e-001
6.052632161070701e-004	1.371662e-001
6.055055416751807e-004	1.371658e-001
6.059901928114022e-004	1.371660e-001
6.069594950838450e-004	1.371659e-001
6.079360575838450e-004	1.371659e-001
6.089126200838450e-004	1.371659e-001
6.098891825838450e-004	1.371659e-001
6.108657450838450e-004	1.371659e-001
6.118423075838450e-004	1.371659e-001
6.128188700838450e-004	1.371659e-001
6.137954325838450e-004	1.371659e-001
6.147719950838450e-004	1.371659e-001
6.157485575838450e-004	1.371659e-001
6.167251200838450e-004	1.371659e-001
6.177016825838450e-004	1.371659e-001
6.186782450838450e-004	1.371659e-001
6.196548075838450e-004	1.371659e-001
6.206313700838450e-004	1.371659e-001
6.216079325838450e-004	1.371659e-001
6.225844950838450e-004	1.371659e-001
6.235610575838450e-004	1.371659e-001
6.245376200838450e-004	1.371659e-001
6.255141825838450e-004	1.371659e-001
6.264907450838451e-004	1.371659e-001
6.274673075838451e-004	1.371659e-001
6.284438700838451e-004	1.371659e-001
6.294204325838451e-004	1.371659e-001
6.303969950838451e-004	1.371659e-001
6.313735575838451e-004	1.371659e-001
6.323501200838451e-004	1.371659e-001
6.333266825838451e-004	1.371659e-001
6.343032450838451e-004	1.371659e-001
6.352798075838451e-004	1.371659e-001
6.362563700838451e-004	1.371659e-001
6.372329325838451e-004	1.371659e-001
6.382094950838451e-004	1.371659e-001
6.391860575838451e-004	1.371659e-001
6.401626200838451e-004	1.371659e-001
6.411391825838451e-004	1.371659e-001
6.421157450838451e-004	1.371659e-001
6.430923075838451e-004	1.371659e-001
6.440688700838451e-004	1.371659e-001
6.450454325838451e-004	1.371659e-001
6.460219950838451e-004	1.371659e-001
6.469985575838451e-004	1.371659e-001
6.479751200838451e-004	1.371659e-001
6.489516825838451e-004	1.371659e-001
6.499282450838451e-004	1.371659e-001
6.509048075838451e-004	1.371659e-001
6.518813700838451e-004	1.371659e-001
6.528579325838451e-004	1.371659e-001
6.538344950838451e-004	1.371659e-001
6.540234375000001e-004	1.371659e-001
6.544013223323101e-004	1.371659e-001
6.550000000000001e-004	1.371652e-001
6.550598677667691e-004	1.384152e-001
6.551796033003071e-004	1.415623e-001
6.554190743673830e-004	1.497762e-001
6.557716510775781e-004	1.670176e-001
6.561273948451058e-004	1.950841e-001
6.563945851018989e-004	2.305543e-001
6.565337864991510e-004	2.615722e-001
6.566228735021615e-004	2.933457e-001
6.566908013384660e-004	3.304887e-001
6.567388215597815e-004	3.718869e-001
6.567782775944580e-004	4.323718e-001
6.568137425870058e-004	5.381619e-001
6.568581726905199e-004	7.758673e-001
6.569173230322644e-004	1.282964e+000
6.569805039810632e-004	2.084232e+000
6.570183789776026e-004	2.795707e+000
6.570595629834055e-004	3.861505e+000
6.570987302562017e-004	5.156082e+000
6.571770648017940e-004	8.272520e+000
6.572488730252252e-004	1.162301e+001
6.573810465841116e-004	1.870243e+001
6.575643258972740e-004	2.914751e+001
6.577834619035346e-004	4.047545e+001
6.579283435601393e-004	4.484417e+001
6.581015866855472e-004	4.615554e+001
6.582414590963486e-004	4.618208e+001
6.583939915767033e-004	4.616717e+001
6.586018412024011e-004	4.617276e+001
6.588396444076503e-004	4.617121e+001
6.591871429285755e-004	4.617192e+001
6.595622967730604e-004	4.617171e+001
6.600000000000001e-004	4.617062e+001
6.600011525049242e-004	4.617068e+001
6.600034575147722e-004	4.617077e+001
6.600072979573818e-004	4.617090e+001
6.600098986586617e-004	4.617097e+001
6.600123679995187e-004	4.617104e+001
6.600151137381123e-004	4.617111e+001
6.600180358810043e-004	4.617118e+001
6.600208253384788e-004	4.617124e+001
6.600237845292196e-004	4.617130e+001
6.600265049453156e-004	4.617134e+001
6.600291807123631e-004	4.617139e+001
6.600320593812293e-004	4.617143e+001
6.600347736560108e-004	4.617147e+001
6.600377499098413e-004	4.617151e+001
6.600404549255769e-004	4.617154e+001
6.600435440633500e-004	4.617157e+001
6.600461872460583e-004	4.617160e+001
6.600494643129919e-004	4.617163e+001
6.600521047181942e-004	4.617165e+001
6.600555979068451e-004	4.617168e+001
6.600585058578656e-004	4.617170e+001
6.600621618672241e-004	4.617173e+001
6.600655898150195e-004	4.617175e+001
6.600694200972271e-004	4.617176e+001
6.600733216691010e-004	4.617178e+001
6.600774315320854e-004	4.617180e+001
6.600817070488456e-004	4.617181e+001
6.600860841958289e-004	4.617183e+001
6.600909823892578e-004	4.617184e+001
6.600954968300266e-004	4.617185e+001
6.601009654907161e-004	4.617186e+001
6.601061249362043e-004	4.617188e+001
6.601122916929426e-004	4.617188e+001
6.601184417844494e-004	4.617189e+001
6.601257407879428e-004	4.617190e+001
6.601331936660474e-004	4.617191e+001
6.601422455451858e-004	4.617191e+001
6.601514337717124e-004	4.617192e+001
6.601630265202574e-004	4.617192e+001
6.601754246919046e-004	4.617192e+001
6.601917140084681e-004	4.617193e+001
6.602106908142496e-004	4.617193e+001
6.602389103336877e-004	4.617193e+001
6.602743236772224e-004	4.617193e+001
6.603399348549909e-004	4.617193e+001
6.604323240522775e-004	4.617193e+001
6.606171024468508e-004	4.617193e+001
6.994000168714195e-004	4.617193e+001
7.000000000000001e-004	4.617193e+001
7.000013199641661e-004	4.617194e+001
7.000039598924980e-004	4.617195e+001
7.000092397491619e-004	4.617197e+001
7.000134084010667e-004	4.617198e+001
7.000177889885219e-004	4.617199e+001
7.000237824302933e-004	4.617200e+001
7.000331518039009e-004	4.617202e+001
7.000473330941348e-004	4.617203e+001
7.000716606665862e-004	4.617205e+001
7.001203158114890e-004	4.617206e+001
